step,loss,avg_reward,median_reward,max_reward
1,1.209829568862915,,,
2,1.107679009437561,,,
3,1.0815156698226929,,,
4,1.2040114402770996,,,
5,1.1457481384277344,,,
6,1.1712347269058228,,,
7,1.1804661750793457,,,
8,1.224109172821045,,,
9,1.1134471893310547,,,
10,1.187445044517517,,,
11,1.2484930753707886,,,
12,1.205902099609375,,,
13,1.0822951793670654,,,
14,1.0022411346435547,,,
15,1.1613285541534424,,,
16,1.1506876945495605,,,
17,1.0930798053741455,,,
18,1.1357702016830444,,,
19,0.9802561402320862,,,
20,0.9916011691093445,,,
21,0.9821321964263916,,,
22,1.088402271270752,,,
23,1.0083986520767212,,,
24,1.0428142547607422,,,
25,0.9369257688522339,,,
26,0.9903749227523804,,,
27,1.0301438570022583,,,
28,0.9122296571731567,,,
29,1.0227649211883545,,,
30,1.0337214469909668,,,
31,0.9699898958206177,,,
32,0.9322844743728638,,,
33,0.917030394077301,,,
34,0.9444482326507568,,,
35,0.9034882187843323,,,
36,0.9959614276885986,,,
37,0.9812923669815063,,,
38,0.9215763807296753,,,
39,0.8685716390609741,,,
40,0.866298258304596,,,
41,0.9348284006118774,,,
42,0.9418993592262268,,,
43,0.7815893292427063,,,
44,0.9090627431869507,,,
45,0.9846041202545166,,,
46,0.9397068023681641,,,
47,0.7878172993659973,,,
48,0.949183464050293,,,
49,0.9725502729415894,,,
50,0.8127914071083069,,,
51,0.8775994181632996,,,
52,0.7203187942504883,,,
53,0.8150416612625122,,,
54,0.848753809928894,,,
55,0.8852916955947876,,,
56,0.8583537340164185,,,
57,0.9236637949943542,,,
58,0.8329203128814697,,,
59,0.9020600318908691,,,
60,0.8340704441070557,,,
61,0.865016758441925,,,
62,0.7587186098098755,,,
63,0.8139277696609497,,,
64,0.7530797123908997,,,
65,0.8380781412124634,,,
66,0.9073394536972046,,,
67,0.7311198711395264,,,
68,0.7551073431968689,,,
69,0.6825716495513916,,,
70,0.7078542709350586,,,
71,0.7139226198196411,,,
72,0.8029669523239136,,,
73,0.6469460129737854,,,
74,0.7714374661445618,,,
75,0.7261190414428711,,,
76,0.7420107126235962,,,
77,0.7683582305908203,,,
78,0.6943586468696594,,,
79,0.7035297155380249,,,
80,0.6091678142547607,,,
81,0.6326292753219604,,,
82,0.6855301260948181,,,
83,0.680965006351471,,,
84,0.7498049736022949,,,
85,0.5925244688987732,,,
86,0.6507219672203064,,,
87,0.7549753189086914,,,
88,0.6920992136001587,,,
89,0.620743989944458,,,
90,0.7587347030639648,,,
91,0.7300091981887817,,,
92,0.5831271409988403,,,
93,0.6597182750701904,,,
94,0.6094633340835571,,,
95,0.6459732055664062,,,
96,0.5199878215789795,,,
97,0.6387826204299927,,,
98,0.6090429425239563,,,
99,0.5687505006790161,,,
100,0.6039761304855347,,,
101,0.6564371585845947,,,
102,0.5935813188552856,,,
103,0.5984988808631897,,,
104,0.6579034328460693,,,
105,0.60737144947052,,,
106,0.627913773059845,,,
107,0.5467644333839417,,,
108,0.5788935422897339,,,
109,0.6338639855384827,,,
110,0.546739399433136,,,
111,0.46810588240623474,,,
112,0.6902799010276794,,,
113,0.5406836271286011,,,
114,0.48575785756111145,,,
115,0.5286561250686646,,,
116,0.4365246295928955,,,
117,0.700817346572876,,,
118,0.5091308355331421,,,
119,0.4682542085647583,,,
120,0.49597305059432983,,,
121,0.4673411548137665,,,
122,0.6574974060058594,,,
123,0.5275322794914246,,,
124,0.3945576250553131,,,
125,0.6310137510299683,,,
126,0.57586669921875,,,
127,0.6476448178291321,,,
128,0.4768288731575012,,,
129,0.6179080009460449,,,
130,0.4946433901786804,,,
131,0.45932692289352417,,,
132,0.37472254037857056,,,
133,0.4771580398082733,,,
134,0.3974874019622803,,,
135,0.558740496635437,,,
136,0.4613431394100189,,,
137,0.6913278102874756,,,
138,0.4500284194946289,,,
139,0.4562310576438904,,,
140,0.5523617267608643,,,
141,0.49217331409454346,,,
142,0.3632286489009857,,,
143,0.42458751797676086,,,
144,0.5076279044151306,,,
145,0.4151437282562256,,,
146,0.5299614667892456,,,
147,0.3318459987640381,,,
148,0.5202175378799438,,,
149,0.48472923040390015,,,
150,0.5111473798751831,,,
151,0.5692275762557983,,,
152,0.4625150263309479,,,
153,0.44554784893989563,,,
154,0.49665144085884094,,,
155,0.4336645007133484,,,
156,0.5290772914886475,,,
157,0.44349586963653564,,,
158,0.35349398851394653,,,
159,0.4263145923614502,,,
160,0.36977076530456543,,,
161,0.4342882037162781,,,
162,0.45607611536979675,,,
163,0.48319220542907715,,,
